movie_name,youtube_video_id,title,published_at,views,likes,comments,release_date,tmdb_rating,tmdb_overview,genres,like_view_ratio,comment_view_ratio,engagement_score,days_before_release,like_view_pct,comment_view_pct,engagement_pct,engagement_level,early_buzz,Box Office Collection,Budget (Cost+ P&A),Verdict
Tumko Meri Kasam,YzUP-V5-lhI,"Tumko Meri Kasam - Official Trailer | Anupam Kher, Adah Sharma, Ishwak Singh, Esha Deol | 21st March",04-03-2025 07:00,10824861,62573,4458,21-03-2025,5,"""Tumko Meri Kasam"" is an emotional rollercoaster of love, betrayal, courtroom drama, and the unbreakable power of a promise made to the one you can't live without.",Unknown,0.0058,0.0004,0.0062,16,0.58,0.04,0.62,low,0,1 Crore,20 Crore,Flop
Pintu Ki Pappi,U1jm72qSaHU,Pintu Ki Pappi (Official Trailer) | Shushant | Ganesh Acharya | Jaanyaa | Viidhi | 21st March 2025,16-12-2024 12:30,5660468,17283,794,21-03-2025,2,A man starts a lucrative business with his uncle when they realise he has a special power.,"Comedy, Romance, Drama",0.0031,0.0001,0.0032,94,0.31,0.01,0.32,low,0,1.15 Crore,20 Crore,Flop
Snow White,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,03-12-2024 15:01,21511711,83384,127711,19-03-2025,4.296,"Following the benevolent King's disappearance, the Evil Queen dominated the once fair land with a cruel streak. Princess Snow White flees the castle when the Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young bandit named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom.","Family, Fantasy",0.0039,0.0059,0.0098,105,0.39,0.59,0.98,low,0,3.05 Crore,2150 Crore,Flop
Crazxy,sHfnlnyjD-E,Crazxy - Official Trailer | Sohum Shah | Girish Kohli | In Cinemas 28th Feb 2025,17-02-2025 12:15,1133548,23286,529,28-02-2025,5.2,"A renowned surgeon, Abhimanyu Sood is carrying ₹5 crores for a hush hush settlement that will save him from going to jail, when he gets a chilling phone call—his 16-year-old daughter, Vedica, has been kidnapped. The ransom? The exact amount he is carrying right now. Is this even a real kidnapping—or an elaborate trap?",Thriller,0.0205,0.0005,0.021,10,2.05,0.05,2.1,medium,1,10.6 Crore,20 Crore,Flop
Superboys Of Malegaon,G_uJ0BNKKwI,Superboys of Malegaon | Official Trailer,06-09-2024 06:30,445832,4020,98,27-02-2025,7.6,"The residents of Malegaon look to Bollywood cinema for a much-needed escape from daily drudgery. Amateur filmmaker Nasir Shaikh gets inspired to make a film for the people of Malegaon, by the people of Malegaon. He bands together his ragtag group of friends to bring his vision to life, thereby bringing a fresh lease of life into the town.","Comedy, Drama",0.009,0.0002,0.0092,173,0.9,0.02,0.92,low,0,3.1 Crore,20 Crore,Flop
Mere Husband Ki Biwi,kPDPBU8eVuo,"Mere Husband Ki Biwi | Official Trailer | Arjun, Rakul, Bhumi | Mudassar | 21 Feb",01-02-2025 09:53,23837569,236624,6547,21-02-2025,5.8,A Delhi professional faces a love triangle when his old flame returns as he falls for someone new. This leads to a series of comedic misunderstandings in his relationships.,Comedy,0.0099,0.0003,0.0102,19,0.99,0.03,1.02,low,0,9.65 Crore,60 Crore,Flop
Captain America 4,1pHDWnXmK7Y,Captain America: Brave New World | Official Trailer,09-11-2024 21:16,27175810,396463,26913,12-02-2025,6,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","Action, Thriller, Science Fiction",0.0146,0.001,0.0156,94,1.46,0.1,1.56,low,0,17.2 Crore,1561 Crore,Flop
Sanam teri Kasam ( Re Release),XXQaKHlyC1o,"Sanam Teri Kasam - Re Releasing Trailer | 7th Feb 2025 | Harshvardhan, Mawra, Radhika, Vinay, Deepak",04-02-2025 06:10,1590956,38479,1276,07-02-2025,,,Unknown,0.0242,0.0008,0.025,16,2.42,0.08,2.5,medium,1,32.06 Crore,21 Crore,Hit
Badass Ravi Kumar,hWBdGt_CaZM,BADASS RAVI KUMAR OFFICIAL TRAILER | Himesh Reshammiya| In Cinemas 7th February,05-01-2025 04:45,85083830,508585,50244,07-02-2025,2,The Xpose franchise now goes to the next level  with Himesh Reshammiya doing a spin off from his iconic character Ravi Kumar.,"Action, Music, Comedy",0.006,0.0006,0.0066,32,0.6,0.06,0.66,low,0,8.85 Crore,20 Crore,Flop
Loveyapa,Z9vvCoW5Ru0,Loveyapa - Trailer | Khushi & Junaid  | In Cinemas 7th Feb,11-01-2025 09:30,8961,44,1,07-02-2025,5.429,The madness after a couple exchanges their mobile phones and begins to unearth bitter truth about each other.,"Comedy, Drama, Romance",0.0049,0.0001,0.005,26,0.49,0.01,0.5,low,0,6.25 Crore,60 Crore,Disaster
Deva,3x77q40hATw,Deva | Official Trailer l Shahid Kapoor | Pooja Hegde | Rosshan Andrrews | In Cinemas 31stJanuary,17-01-2025 07:53,38388122,372593,10173,31-01-2025,8.5,,Drama,0.0097,0.0003,0.01,14,0.97,0.03,1,low,0,32.8 Crore,80 Crore,Flop
Skyforce,PKsVB1wPZ78,Sky Force | Official Trailer | Akshay Kumar | Veer P | Sara | Nimrat | Dinesh Vijan | 24th Jan 2025,05-01-2025 05:41,41188284,240627,25700,24-01-2025,,,Unknown,0.0058,0.0006,0.0065,16,0.58,0.06,0.65,low,0,109.8 Crore,140 Crore,Average
Interstellar ( Re Release),2LqzF5WauAw,Interstellar Movie - Official Trailer,16-05-2014 17:56,8103618,40758,3423,07-02-2025,,,Unknown,0.005,0.0004,0.0055,16,0.5,0.04,0.55,low,0,15.8 Crore,1400 Crore,Super Hit
Emergency,FVi9hlvQOrg,Emergency - Official Trailer | Prime Video,03-05-2022 14:59,7877933,7957,623,17-01-2025,0,"An armed man breaks into a family's home during a terrible thunderstorm. Aired on Oct 15, 1953 as Season 2, Episode 3 of The Ford Television Theatre.","Mystery, Crime",0.001,0.0001,0.0011,24,0.1,0.01,0.11,low,0,16.9 Crore,60 Crore,Flop
Pushpa 2 (Hindi),1kVK0MZlbI4,Pushpa 2 - The Rule Trailer (Hindi) | Allu Arjun | Sukumar | Rashmika Mandanna | Fahadh Faasil | DSP,17-11-2024 12:33,115013139,1817650,61667,17-01-2025,,,Unknown,0.0158,0.0005,0.0163,16,1.58,0.05,1.63,low,1,713.35 Crore,500 Crore,Blockbuster
Azaad,WvUijIdiq5U,"Azaad Official Trailer | Ajay D, Abhishek K, Ronnie S, Pragya K, Diana P, Aaman D, Rasha T | 17 Jan",06-01-2025 07:30,20316880,148857,3389,17-01-2025,6,"This is the story of a eccentric young man, Ashok (Dharmendra) who believes in doing good without worrying about the consequences. This does not find any favor with his sister-in-law Sarla (Sulochana), and she decides to leave him. But he persuades her to come back, and he decides to relocate and not cause any more trouble for Sarla. On his way he has a skirmish with the a princess Rajkumari Seema (Hema Malini) who he teaches a lesson to respect the poor and food grown in the fields. When he arrives in the city, due to his misfortune, he lands a job at a factory run by the Rajkumari, and immediately gets in to the bad books of Prem (Prem Chopra) to whom the Rajkumari is engaged to be married.",Unknown,0.0073,0.0002,0.0075,16,0.73,0.02,0.75,low,0,6.9 Crore,80 Crore,Disaster
Fateh,5efGUAV9Vv8,Fateh - Official Trailer | Sonu Sood | Jacqueliene Fernandez | Naseeruddin Shah | 10th January 2025,23-12-2024 12:14,798926,18370,856,10-01-2025,1,"The Major, aided by three other military commandos, undertakes a mission to bring to justice an evil arms dealer and drugs smuggler.",Unknown,0.023,0.0011,0.0241,16,2.3,0.11,2.41,medium,1,11.75 Crore,40 Crore,Flop
Gamechanger (Hindi),QSu9-DBjMPI,Game Changer Trailer (Hindi) | Ram Charan | Kiara Advani | Shankar | Thaman S | Dil Raju | Shirish,02-01-2025 15:20,26985491,307454,9160,10-01-2025,,,Unknown,0.0114,0.0003,0.0117,16,1.14,0.03,1.17,low,0,28.35 Crore,450 Crore,Disaster
Gamechanger (All Languages),QSu9-DBjMPI,Game Changer Trailer (Hindi) | Ram Charan | Kiara Advani | Shankar | Thaman S | Dil Raju | Shirish,02-01-2025 15:20,26985491,307454,9160,10-01-2025,,,Unknown,0.0114,0.0003,0.0117,16,1.14,0.03,1.17,low,0,127.75 Crore,450 Crore,Disaster
Yeh Jawani Hain Deewani ( Re Release),Rbp2XUSeUNE,"Yeh Jawaani Hai Deewani - Official Trailer | Ranbir Kapoor, Deepika Padukone",19-03-2013 11:51,11809158,97777,1659,03-01-2025,,,Unknown,0.0083,0.0001,0.0084,16,0.83,0.01,0.84,low,0,20.52 Crore,75 Crore,Blockbuster
Pushpa 2 ( All Languages),1kVK0MZlbI4,Pushpa 2 - The Rule Trailer (Hindi) | Allu Arjun | Sukumar | Rashmika Mandanna | Fahadh Faasil | DSP,17-11-2024 12:33,115013139,1817650,61667,05-12-2024,,,Unknown,0.0158,0.0005,0.0163,16,1.58,0.05,1.63,low,1,1132 Crore,500 Crore,Blockbuster
Baby John,qyRn3rPRw8w,"Baby John - Trailer | Atlee | Varun Dhawan, Keerthy Suresh, Wamiqa G, Jackie Shroff | 25th Dec",09-12-2024 12:00,72921406,501953,52842,25-12-2024,6,"John's peaceful life with daughter Khushi is disrupted by a sex-trafficking gang. Revealing his past as DCP Satya, he seeks revenge for his family's murder, saving minor girls and punishing the criminals, before starting anew.","Action, Drama, Thriller, Crime",0.0069,0.0007,0.0076,15,0.69,0.07,0.76,low,0,37.8 Crore,160 Crore,Disaster
Kaho Na Pyaar Hain ( Re Release),gsV-IjYLiYI,KAHO NAA... PYAAR HAI - Official Trailer | Returns To Big Screens | 10th January 2025,07-01-2025 12:27,218386,3484,216,10-01-2025,,,Unknown,0.016,0.001,0.0169,16,1.6,0.1,1.69,low,1,0.5 Crore,10 Crore,Blockbuster
Sonic 3,qSu6i2iFMO0,"Sonic the Hedgehog 3 | Official Trailer (2024 Movie) Ben Schwartz, Jim Carrey, Keanu Reeves",27-08-2024 13:00,29086261,384514,28296,19-12-2024,7.651,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.","Action, Science Fiction, Comedy, Family",0.0132,0.001,0.0142,113,1.32,0.1,1.42,low,0,2.3 Crore,1046 Crore,Flop
Mufasa The Lion King,o17MF9vnabg,Mufasa: The Lion King | Official Trailer,10-08-2024 05:01,34736701,316561,19809,18-12-2024,7.355,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.","Adventure, Family, Animation",0.0091,0.0006,0.0097,129,0.91,0.06,0.97,low,0,120 Crore,1716 Crore,Super Hit
Vanvaas,M-zXaiaJqhA,Vanvaas Official Trailer | Anil Sharma | Nana P | Utkarsh S | Simrat K | In Cinemas 20th December,02-12-2024 08:20,19161581,131478,4889,20-12-2024,7,"Explores the dynamics of familial relationships, focusing on themes of sacrifice, emotional bonds, and the challenges of sustaining unity in modern times. The story delves into the lives of its central characters as they navigate conflicts and rediscover the importance of family values.",Drama,0.0069,0.0003,0.0071,17,0.69,0.03,0.71,low,0,4.65 Crore,30 Crore,Flop
Moana 2,hDZ7y8RP5HE,Moana 2 | Official Trailer,10-08-2024 02:29,22054392,206951,0,21-11-2024,7.029,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","Family, Comedy, Adventure, Animation, Fantasy",0.0094,0,0.0094,102,0.94,0,0.94,low,0,23 Crore,1264 Crore,Hit
Sabarmati Report,Mjtv0KkgCqM,"The Sabarmati Report | Official Trailer | Vikrant M, Raashii K, Ridhi D | Ektaa K | InCinemas Nov 15",06-11-2024 15:57,23379856,236123,6267,14-11-2024,5,"A Hindi reporter struggles with a deadly fact when a train full of Karsewaks is set ablaze in Godhra. Years later, he is asked to help expose the Sabarmati Incident backed by a buried report.","Drama, Thriller, Crime",0.0101,0.0003,0.0104,7,1.01,0.03,1.04,low,0,26.25 Crore,50 Crore,Flop
Singham Again,MD7v0-igVIM,Singham Again | Official Trailer | A Rohit Shetty Cop Universe | In Cinemas 1st Nov,07-10-2024 07:43,64507863,1171404,95960,01-11-2024,4.8,The cop universe expands with newer additions while the old ones return led by Bajirao Singham. Singham Again interweaves the mythological epic Ramayana's good vs evil narrative when his wife Avni Kamath gets abducted by Danger Lanka setting Bajirao and his gang of Sangram Bhalerao and Veer Sooryavanshi along with Satya and Shakti Shetty on a mission to rescue her.,"Action, Drama, Thriller, Crime",0.0182,0.0015,0.0196,24,1.82,0.15,1.96,low,1,243.6 Crore,375 Crore,Flop
Bhool Bhulaiyaa 3,6YMY62tMLUA,"Bhool Bhulaiyaa 3 (Official Trailer): Kartik Aaryan,Vidya B,Madhuri D,Triptii | Anees B | Bhushan K",09-10-2024 09:00,81369683,1241072,43313,01-11-2024,5.7,"Rooh Baba ventures into a haunted mansion in the kingdom of Raktaghat in West Bengal, where he confronts two vengeful spirits, both asserting to be Manjulika.","Horror, Comedy",0.0153,0.0005,0.0158,22,1.53,0.05,1.58,low,0,240.9 Crore,150 Crore,Super Hit
Kanguva ( All Languages),ajnCMSC4VPo,Kanguva - Tamil Trailer | Suriya | Bobby Deol | Devi Sri Prasad | Siva | Studio Green | UV Creations,12-08-2024 07:28,38489145,951784,40871,14-11-2024,,,Unknown,0.0247,0.0011,0.0258,16,2.47,0.11,2.58,medium,1,68.1 Crore,350 Crore,Disaster
Naam,nKfzqJSZdq4,Naam Official Trailer | Ajay Devgn | Anees Bazmee | Anil Roöngta | 22nd Nov Release,07-11-2024 13:01,8330379,49062,2624,22-11-2024,0,A man wakes up with no memory and sets out on a quest to discover who or what he is.,Mystery,0.0059,0.0003,0.0062,14,0.59,0.03,0.62,low,0,1 Crore,20 Crore,Flop
I Want to Talk,kZXlMsupVz8,I Want To Talk - Trailer | Shoojit Sircar | Abhishek A Bachchan | Rising Sun Films | Kino Works,05-11-2024 07:30,879818,11076,564,22-11-2024,7.5,"'Sometimes life gives us a second chance,' and for Arjun settled in the USA in pursuit of The American Dream, it's an opportunity to rediscover and embrace precious relationships, especially with his daughter as they both try to navigate through whatever life throws at them. Whatever!","Drama, Family",0.0126,0.0006,0.0132,16,1.26,0.06,1.32,low,0,1.75 Crore,40 Crore,Disaster
Karan Arjun ( Re-Release),0dPcNI7_gLo,Karan Arjun (Official Trailer): Salman Khan | Shahrukh Khan | Kajol | Rakesh Roshan | Hrithik Roshan,13-11-2024 04:51,5885565,65394,2836,22-11-2024,,,Unknown,0.0111,0.0005,0.0116,16,1.11,0.05,1.16,low,0,1.3 Crore,6 Crore,All Time Blockbuster
Wicked (3D),6COmYeLsz4c,Wicked - Official Trailer,15-05-2024 15:00,22893286,310801,19019,,,,Unknown,0.0136,0.0008,0.0144,16,1.36,0.08,1.44,low,0,1.2 Crore,1264 Crore,Flop
Kal Ho Na Ho ( Re-Release),tVMAQAsjsOU,"Kal Ho Naa Ho - Movie - Theatrical Trailer - Shahrukh Khan, Saif Ali Khan, Preity Zinta",29-09-2011 15:34,3224189,25702,872,15-11-2024,,,Unknown,0.008,0.0003,0.0082,16,0.8,0.03,0.82,low,0,3.5 Crore,28 Crore,Hit
Kanguva ( Hindi),bdQF3fwv5mw,Kanguva - Hindi Trailer | Suriya | Bobby Deol | Devi Sri Prasad | Siva | Studio Green | UV Creations,13-08-2024 03:30,24695043,345539,11269,14-11-2024,,,Unknown,0.014,0.0005,0.0144,16,1.4,0.05,1.44,low,0,12.8 Crore,350 Crore,Flop
Kahan Shuru Kahan Khatam,nJnNG0oy098,"Kahan Shuru Kahan Khatam | Trailer | Dhvani B, Aashim G, Saurabh D, Laxman Utekar, Vinod B | Sept 20",23-08-2024 17:05,456944,0,186,20-09-2024,2,"Meera is about to get married against her wishes and she decides to escape on the wedding day. On the run now, she bumps into a serial wedding crasher, who reluctantly decides to help her and the two develop an unlikely bond. Meanwhile, Meera’s family come to look for her and the chaos ensues when the circumstances make it seem like she has run away with him.","Comedy, Drama",0,0.0004,0.0004,27,0,0.04,0.04,low,0,2.8 Crore,30 Crore,Flop
Love Sex Aur Dhokha 2,4A10SL637p8,Love Sex Aur Dhokha 2 | Official Trailer | Dibakar Banerjee | Ektaa R Kapoor | In Cinemas 19th April,12-04-2024 09:46,1886660,3792,180,19-04-2024,5.9,"In a high-tech world, three intertwined stories discuss identity, online intimacy and the allure of social networks.","Drama, Comedy, Crime",0.002,0.0001,0.0021,6,0.2,0.01,0.21,low,0,0.8 Crore,20 Crore,Disaster
